country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,1.65963,1.64287,1.64115,1.53515,1.66803,,1.40914,1.40566,1.68608,,
Curacao,,,,,2.27678,,,,,,
Cayman Islands,,,,,,,,,,,
Cyprus,0.87191,0.89696,1.03248,1.17905,1.2906,1.41937,1.35772,,,,
Czech Republic,1.37513,1.39629,1.41689,1.41615,1.42132,1.40151,1.40667,1.40669,1.40993,,
Germany,,,,,0.93984,0.95469,0.98007,0.99673,1.01272,,
Djibouti,0.73967,0.75314,0.75807,,,,,,,,
Dominica,,,,,,,,,,,
Denmark,1.45519,1.4486,1.42515,1.41573,1.38916,1.41378,1.40166,1.36467,1.36896,,
Dominican Republic,,,,1.59504,,1.61028,1.82786,1.78531,1.79173,,
Algeria,1.43208,1.44385,1.4517,1.48112,1.50728,1.53097,1.56471,1.67247,1.49026,1.65897,
East Asia & Pacific (excluding high income),1.043540001,1.05657,1.06917,1.10205,1.129,1.153,1.16803,1.19167,1.19643,1.20469,
Early-demographic dividend,0.924709976,0.91945,0.93192,0.98767,1.01931,1.03981,1.04028,1.05048,1.06365,1.07766,
East Asia & Pacific,1.014660001,1.02923,1.04158,1.07196,1.09836,1.12494,1.14082,1.16308,1.16829,1.17882,
Europe & Central Asia (excluding high income),1.199429989,1.18206,1.16525,1.12291,1.10398,1.08053,1.07427,1.0547,1.04906,1.04837,
Europe & Central Asia,1.225329995,1.21673,1.20896,1.18595,1.17274,1.15724,1.15376,1.14282,1.14142,1.14134,
Ecuador,,,,1.31486,,,1.16601,,,,
"Egypt, Arab Rep.",0.89888,0.91622,0.9099,0.89463,0.89272,0.89416,0.96149,1.02283,1.03466,,
Euro area,1.183809996,1.17944,1.18024,1.17585,1.17155,1.16926,1.17118,1.16923,1.1728,1.1728,
Eritrea,0.3272,0.37992,,,,0.49535,0.65101,0.70903,,,
Spain,1.24327,1.23594,1.23594,1.22065,1.21461,1.20185,1.19021,1.19527,1.19709,,
Estonia,1.73177,1.66324,1.58173,1.5422,1.49553,1.5096,1.51506,1.51091,1.53068,,
Ethiopia,0.44133,0.42971,0.43685,0.46532,,0.48321,,,,,
European Union,1.259310007,1.26016,1.25968,1.2526,1.24588,1.2386,1.23704,1.23531,1.23832,1.23832,
Fragile and conflict affected situations,0.758520007,0.76877,0.79279,0.7914,0.78638,0.78686,0.80359,0.8152,0.82127,0.82099,
Finland,1.23287,1.22309,1.23083,1.21111,1.20815,1.20338,1.20005,1.1852,1.18267,,
Fiji,,,,,,,,,,,
France,1.27038,1.25742,1.25273,1.25568,1.24484,1.24291,1.24272,1.23738,1.23939,,
Faroe Islands,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,
Gabon,,,,,,,,,,,
United Kingdom,1.36322,1.33607,1.32347,1.32588,1.32115,1.31874,1.33126,1.34541,1.36112,,
Georgia,1.29374,1.30606,1.25314,1.33265,1.33029,1.28555,1.24175,1.15952,1.13949,1.11323,
Ghana,0.61921,,0.61855,0.63293,0.64697,0.67461,0.69858,0.72047,0.72575,0.76533,
Gibraltar,,,,,,,,,,,
Guinea,0.31605,0.31177,0.33577,0.35253,0.42086,0.43144,,,,,
"Gambia, The",,0.69676,0.61578,0.69943,,,,,,,
Guinea-Bissau,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,
Greece,,1.06808,1.06092,1.0584,1.04624,1.04069,,1.01748,1.00562,,
Grenada,1.38806,,,,,,1.154,1.26772,1.22197,,
Greenland,,,,,,,,,,,
Guatemala,,,,,1.0458,1.11528,1.17546,,,,
Guam,,,,,,,,,,,
Guyana,2.02003,2.3596,2.20205,1.97584,,,,,,,
High income,1.245290041,1.24727,1.2445,1.24632,1.23541,1.23084,1.23163,1.22843,1.23613,1.24559,
"Hong Kong SAR, China",0.95672,0.99538,1.05934,1.05651,1.09906,1.12047,1.13409,1.15005,1.11746,1.11275,
Honduras,,1.15679,,1.37866,1.38007,1.36679,1.36844,,,1.36511,
Heavily indebted poor countries (HIPC),0.649670005,0.64657,0.6467,0.66979,0.66665,0.66158,0.67484,0.68889,0.69268,0.69769,
Croatia,1.27444,1.34261,1.39957,1.36229,1.35038,1.36974,1.35401,1.37776,,,
Haiti,,,,,,,,,,,
Hungary,1.3731,1.36282,1.33318,1.31309,1.29382,1.29488,1.25768,1.24778,1.24393,,
IBRD only,1.06487,1.06816,1.06933,1.10048,1.12328,1.13711,1.14263,1.15569,1.16349,1.17364,
IDA & IBRD total,1.021100044,1.02304,1.02456,1.05206,1.07093,1.08511,1.08769,1.09832,1.1049,1.11354,
IDA total,0.714600027,0.72147,0.73146,0.74806,0.7567,0.76953,0.75808,0.75928,0.76264,0.76782,
IDA blend,0.807980001,0.82433,0.81123,0.82448,0.83481,0.86285,0.80114,0.79998,0.79663,0.80435,
Indonesia,0.9456,0.87524,0.85244,1.03922,1.11204,1.1191,1.1122,1.13324,1.14651,1.1553,
IDA only,0.670490026,0.67491,0.69401,0.71165,0.71965,0.72625,0.73795,0.74061,0.7469,0.75149,
Isle of Man,,,,,,,,,,,
India,0.71792,0.74056,0.79858,,0.95096,0.99749,1.00352,1.0152,1.04189,1.06961,
Not classified,,,,,,,,,,,
Ireland,1.14916,1.0761,1.08118,1.05912,1.04926,1.05601,1.08831,1.10646,1.11195,,
"Iran, Islamic Rep.",1.06433,0.99712,0.99533,0.99875,0.93625,0.89971,,0.85698,,,
Iraq,,,,,,,,,,,
Iceland,1.86999,1.78877,1.68658,1.71124,1.70793,1.74219,1.79247,1.86932,1.86603,,
Israel,1.297,1.29449,1.32145,1.31901,1.34582,1.34408,1.383,1.39936,1.41004,,
Italy,1.42954,1.428,1.43453,1.42424,1.40055,1.38966,1.37228,1.36226,1.34872,,
Jamaica,2.33409,2.30605,2.33109,2.05966,2.29807,,1.74498,,,,
Jordan,1.10791,1.13723,1.15883,1.15276,,,1.08753,1.07151,1.14408,1.186,
Japan,,,,,,,,,,,
Kazakhstan,,1.26858,1.26012,1.27194,1.26744,1.26257,1.27715,1.23713,1.26451,1.24529,
Kenya,0.69476,,,,,,0.71165,0.6992,0.73713,,
Kyrgyz Republic,1.34342,1.30454,1.24489,1.26078,1.29089,1.30403,1.30556,1.27802,1.24073,1.29797,
Cambodia,0.56029,0.60209,0.62643,,,,0.82081,,0.86536,,
Kiribati,,,,,,,,,,,
St. Kitts and Nevis,,,,,,1.0251,2.00742,,,,
"Korea, Rep.",0.72595,0.74358,0.75089,0.75712,0.76445,0.77092,0.77841,0.78573,0.79085,,
Kuwait,,,,,,1.9478,2.073,2.21975,2.11344,2.12521,
Latin America & Caribbean (excluding high income),1.285019994,1.29531,1.28675,1.29701,1.29956,1.30129,1.29706,1.30311,1.30528,1.30353,
Lao PDR,0.78942,0.76126,0.72859,0.81711,0.87204,0.92505,0.94682,0.98966,1.03967,1.07571,
Lebanon,,,,,,,,,,,
Liberia,,0.52892,,0.6246,,,,,,,
Libya,,,,,,,,,,,
St. Lucia,2.56772,2.58055,1.74077,2.17853,1.99757,2.08615,1.89887,1.9516,2.00073,1.97943,
Latin America & Caribbean,1.281119943,1.29001,1.28259,1.293,1.295,1.29678,1.29279,1.29959,1.30256,1.30087,
Least developed countries: UN classification,0.616519988,0.63235,0.64526,0.66823,0.68293,0.68676,0.6934,0.69647,0.70322,0.70752,
Low income,0.517629981,0.52405,0.54538,0.56666,0.57099,0.58678,0.60681,0.61007,0.61546,0.61862,
Liechtenstein,0.49338,0.61693,0.53168,0.55308,,0.4751,0.4881,0.54602,,,
Sri Lanka,,1.78831,1.70288,1.6027,1.551,1.2927,1.54261,1.55534,1.51436,1.48375,
Lower middle income,0.851540029,0.85274,0.86382,0.92951,0.97173,1.00384,0.99885,1.01614,1.03228,1.04651,
Low & middle income,1.014189959,1.01476,1.01591,1.04328,1.06275,1.07793,1.08104,1.09179,1.0989,1.10763,
Lesotho,,,,1.46936,1.42449,1.42053,1.50109,,1.62082,1.54621,
Late-demographic dividend,1.161499977,1.17922,1.18843,1.19047,1.19754,1.20471,1.21529,1.2329,1.23502,1.24141,
Lithuania,1.49344,1.51175,1.50396,1.47595,1.48201,1.46695,1.43721,1.37268,1.36806,,
Luxembourg,,1.10922,,1.13479,,,1.10864,1.1115,1.106,,
Latvia,1.83882,1.75342,1.63782,1.55724,1.5181,1.42793,1.56033,1.53086,1.45868,,
"Macao SAR, China",0.91518,0.96445,0.99039,1.22105,1.25112,1.27963,1.30238,1.32837,1.30555,1.34913,
St. Martin (French part),,,,,,,,,,,
Morocco,0.88276,0.90242,0.92216,0.92471,0.95541,0.96656,0.95797,0.92572,0.97178,0.98711,
Monaco,,,,,,,,,,,
Moldova,1.38956,1.3362,1.34887,1.31713,1.29167,1.31619,1.3415,1.339,1.30581,1.33749,
Madagascar,0.90335,0.91164,0.92722,0.91709,0.9373,0.91787,0.90415,0.92001,0.93284,,
Maldives,,,,,,2.3613,,,3.59725,,
Middle East & North Africa,1.060559988,1.0397,1.04716,1.04216,1.01899,1.0108,1.02336,1.03807,1.03738,1.05936,
Mexico,0.9775,0.97776,0.97866,0.97928,0.97768,0.98348,0.98417,1.00698,1.01966,,
Marshall Islands,,,,1.01225,,,,,,,
Middle income,1.039299965,1.04112,1.04109,1.0702,1.09152,1.10681,1.10879,1.11978,1.12719,1.13646,
North Macedonia,1.18202,1.16417,,1.19573,1.26058,1.25857,1.2508,,,,
Mali,0.41708,0.41292,0.42434,0.39261,0.41575,0.41689,0.41799,,,,
Malta,1.35687,1.34085,1.35209,1.35533,1.34132,1.31744,1.38041,1.36862,,,
Myanmar,,,1.33434,1.21866,,,,,1.45385,,
Middle East & North Africa (excluding high income),1.008599997,0.99245,1.00728,1.0066,0.98558,0.97401,0.98613,1.00418,1.00644,1.02387,
Montenegro,1.30133,1.25583,,,,,,1.26807,1.29875,1.35378,
Mongolia,1.55253,1.53347,1.48682,1.43832,1.41737,1.42734,1.37329,1.38185,1.41638,1.40186,
Northern Mariana Islands,,,,,,,,,,,
Mozambique,0.61173,0.64532,0.6156,0.638,0.65701,0.7021,0.71949,0.77666,0.8006,0.8058,
Mauritania,0.4033,0.40463,0.41473,0.42733,0.44202,,0.50076,0.50534,0.50318,,
Mauritius,1.19219,1.20877,1.30363,1.32762,1.2247,1.23021,1.31248,1.28889,1.40157,,
Malawi,,0.59298,0.62394,,,,,,,,
Malaysia,1.32301,1.3703,1.32928,1.34314,1.36004,1.34065,1.29686,1.17208,1.16077,1.22603,
North America,1.401710033,1.39266,1.38495,1.3899,1.37028,1.35853,1.35489,1.34449,1.35883,1.35882,
Namibia,,,,,,,,,,,
New Caledonia,,,,,,,,,,,
Niger,0.3716,0.39904,0.42224,0.38195,,,0.47878,0.55998,0.49202,0.41449,
Nigeria,,0.74001,0.69194,,,,,,,,
Nicaragua,,,,,,,,,,,
Netherlands,1.11586,1.11567,1.11613,1.10079,,,1.14462,1.12895,1.14649,,
Norway,1.63184,1.61538,1.58706,1.57764,1.50146,1.44853,1.45597,1.47751,1.48887,,
Nepal,0.61691,0.64183,0.66387,,0.80788,,0.94079,0.97699,1.00909,1.0719,
Nauru,,,,,,,,,,,
New Zealand,,,,,1.48324,1.43804,1.40947,1.41418,1.43205,,
OECD members,1.180369973,1.18296,1.18479,1.18513,1.17336,1.16774,1.16589,1.16075,1.16608,1.17055,
Oman,1.38633,1.44037,1.45682,,1.82039,1.99024,1.9119,1.8534,2.0414,2.10664,
Other small states,1.278010011,1.28052,1.28448,1.35104,1.37813,1.40719,1.45773,1.47379,1.53077,1.53091,
Pakistan,0.84705,,0.92483,0.95762,0.98073,1.06393,0.87413,0.87172,0.86964,0.8796,
Panama,1.52478,1.53031,1.54862,1.54869,,1.58749,1.57393,1.57048,,,
Peru,,,,,,,,1.07026,1.05731,,
Philippines,1.2347,1.24981,1.23803,1.22778,1.26019,1.2805,,,1.31329,,
Palau,,,,,1.51198,,,,,,
Papua New Guinea,,,,,,,,,,,
Poland,1.44064,1.52164,1.56902,1.57311,1.57174,1.54108,1.51537,1.50911,1.50594,,
Pre-demographic dividend,0.613139987,0.62492,0.6122,0.63397,0.63957,0.63354,0.64285,0.65353,0.65591,0.65786,
Puerto Rico,1.55634,1.47609,1.44869,1.43877,1.4403,1.43262,1.43986,1.45646,,,
"Korea, Dem. People’s Rep.",0.5043,,,,,,0.55228,,,0.51295,
Portugal,1.1829,1.18147,1.18966,1.18163,1.15314,1.1573,1.13289,1.11517,1.12589,,
Paraguay,1.45562,1.42734,,,,,,,,,
West Bank and Gaza,1.30241,1.33606,1.37764,1.41215,1.49903,1.55246,1.57473,1.59139,1.61797,1.57428,
Pacific island small states,,,,,,,,,,,
Post-demographic dividend,1.232710004,1.23276,1.22765,1.22745,1.22067,1.21494,1.21641,1.21355,1.22225,1.22845,
French Polynesia,,,,,,,,,,,
Qatar,5.91327,5.88684,5.88759,6.34267,6.14885,6.51245,7.06373,7.44841,7.72885,7.82318,
Romania,1.3585,1.37174,1.35285,1.27031,1.25488,1.25454,1.25341,1.26767,,,
Russian Federation,1.35177,,1.33682,1.27274,1.23705,1.19997,1.20449,1.18746,1.18774,,
Rwanda,0.7655,0.77673,0.75195,0.80607,0.79536,0.83917,0.78807,0.77478,0.89507,0.80682,
South Asia,0.714299977,0.73983,0.79237,0.87568,0.92636,0.96754,0.96198,0.96763,0.98945,1.01186,
Saudi Arabia,1.27605,1.15324,1.09139,1.01502,0.96618,0.99266,1.01244,1.00581,0.99009,1.05335,
Sudan,1.13353,1.17252,1.04719,1.12639,1.11512,1.06396,1.0167,,,,
Senegal,0.57473,0.5828,0.57846,0.57814,0.57866,0.58507,0.5933,0.59066,0.59984,0.67637,
Singapore,,,,,,,,1.16332,1.15529,,
Solomon Islands,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,
El Salvador,1.10992,1.10652,1.08841,1.07918,1.08793,1.09751,1.10722,1.1204,1.11811,,
San Marino,,1.49698,1.53017,1.40289,,,,,,0.74044,
Somalia,,,,,,,,,,,
Serbia,1.29282,1.29843,1.31675,1.32407,1.32771,1.30702,1.33328,1.31432,1.3548,1.38021,
Sub-Saharan Africa (excluding high income),0.70836997,0.70586,0.6907,0.71458,0.72388,0.72266,0.73482,0.74382,0.75246,0.75461,
South Sudan,,,,,,,,,,,
Sub-Saharan Africa,0.708379984,0.70587,0.69073,0.71461,0.72391,0.72271,0.73492,0.74392,0.75258,0.75471,
Small states,1.404989958,1.41264,1.40862,1.44571,1.47834,1.48004,1.50029,1.5157,1.55826,1.55739,
Sao Tome and Principe,0.92435,0.97206,,0.86167,,0.87182,1.04026,,,,
Suriname,,,,,,,,,,,
Slovak Republic,1.59276,1.54638,1.53994,1.53903,1.54367,1.54511,1.54192,1.52065,1.52607,,
Slovenia,1.48128,1.48644,1.67433,1.47568,1.45066,1.45042,1.46759,1.43329,1.43223,,
Sweden,1.58183,1.53176,1.51197,1.55261,1.55501,1.53747,1.52539,1.5406,1.5568,,
Eswatini,,,0.83843,,0.94437,,,,,,
Sint Maarten (Dutch part),,,,2.74455,,2.77234,3.38646,,,,
Seychelles,,,3.34505,3.45975,2.28082,2.61104,2.1681,1.8701,2.30717,2.07412,
Syrian Arab Republic,0.92385,0.8648,0.99311,0.9805,0.99807,1.0241,1.09969,1.14198,,,
Turks and Caicos Islands,,,,,,,,,,,
Chad,0.17321,0.17434,0.23844,,,0.19712,0.28999,,,,
East Asia & Pacific (IDA & IBRD countries),1.053570032,1.06624,1.07876,1.1117,1.13856,1.16139,1.17609,1.20005,1.20488,1.21324,
Europe & Central Asia (IDA & IBRD countries),1.221019983,1.21178,1.19965,1.16016,1.14106,1.11551,1.10691,1.08711,1.08045,1.07997,
Togo,,,,0.27258,,0.41641,0.42727,0.43124,0.45157,0.50959,
Thailand,1.20219,1.27742,1.2742,1.3167,1.3559,1.352,,1.40733,,,
Tajikistan,0.52833,0.52738,0.52271,0.52407,0.56313,0.60969,0.67455,0.7217,0.75705,,
Turkmenistan,,,,,,0.6385,,,,,
Latin America & the Caribbean (IDA & IBRD countries),1.263260007,1.27645,1.27155,1.28637,1.28794,1.29219,1.28962,1.29674,1.29734,1.29563,
Timor-Leste,0.68262,0.71834,,,,,,,,,
Middle East & North Africa (IDA & IBRD countries),1.003960013,0.98703,1.00101,1.0001,0.97806,0.96614,0.97803,0.99614,0.99814,1.01615,
Tonga,,,,,,,,,,,
South Asia (IDA & IBRD),0.714299977,0.73983,0.79237,0.87568,0.92636,0.96754,0.96198,0.96763,0.98945,1.01186,
Sub-Saharan Africa (IDA & IBRD countries),0.708379984,0.70587,0.69073,0.71461,0.72391,0.72271,0.73492,0.74392,0.75258,0.75471,
Trinidad and Tobago,,,,,,,,,,,
Tunisia,1.5084,1.55235,1.63399,1.57185,1.59912,1.64585,1.65751,1.73072,1.80442,,
Turkey,,,,,,,,,,,
Tuvalu,,,,,,,,,,,
Tanzania,,0.82463,,0.54915,0.54125,,0.53811,,,,
Uganda,0.75974,0.74625,0.73313,0.68457,,0.72971,,,,,
Ukraine,1.27167,1.25648,1.18348,1.15083,1.1926,1.15601,,,,,
Upper middle income,1.159719944,1.16757,1.17606,1.17781,1.17991,1.17814,1.18721,1.19392,1.19559,1.20171,
Uruguay,,,,,,,,,,,
United States,1.40157,1.39311,1.38578,1.39345,1.37343,1.36078,1.35624,1.34487,1.3602,,
Uzbekistan,0.69056,0.68058,0.64384,0.5982,0.59647,0.62043,0.62901,0.64671,0.60792,0.69772,
St. Vincent and the Grenadines,,,,,,2.21255,1.67388,,,,
"Venezuela, RB",,,,,,,,,,,
British Virgin Islands,1.595,,,,,,1.7942,1.58504,,,
Virgin Islands (U.S.),,,,,,,,,,,
Vietnam,1.00745,1.01665,1.02616,,0.90818,1.05553,1.00551,1.24238,,,
Vanuatu,,,,,,,,,,,
World,1.076370001,1.07705,1.07587,1.09559,1.10652,1.11485,1.11687,1.1246,1.13128,1.13933,
Samoa,,,,,,,,,,,
Kosovo,,,,,,,,,,,
"Yemen, Rep.",,0.43666,0.44019,,,,,,,,
South Africa,,,,1.40606,1.41345,1.41181,,1.40463,1.43187,,
Zambia,,,0.36901,0.73715,,,,,,,
Zimbabwe,,0.73304,0.69562,0.70526,0.77549,,0.83997,,,,
